file,seq_id
../results/simdir/Clostridium_BNL1100_uid81613/81613_.fasta,gi|373943374|gb|CP003259.1|
../results/simdir/Staphylococcus_aureus_ST228_18412_uid71355/71355_.fasta,gi|408434508|emb|HE579071.1|
../results/simdir/Staphylococcus_aureus_ST228_18412_uid71355/71355_.fasta,gi|408436477|emb|HE579072.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320088950|emb|FR775249.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320088940|emb|FR775247.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085595|emb|FR775214.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320087175|emb|FR775233.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085023|emb|FR775199.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085597|emb|FR775216.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320084584|emb|FR775193.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085373|emb|FR775208.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320086708|emb|FR775225.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320088398|emb|FR775243.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085596|emb|FR775215.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085261|emb|FR775205.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320086428|emb|FR775224.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085269|emb|FR775206.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085303|emb|FR775207.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320086427|emb|FR775223.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320088540|emb|FR775245.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320089095|emb|FR775252.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085741|emb|FR775218.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320084291|emb|FR775191.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320089089|emb|FR775250.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085224|emb|FR775203.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320088314|emb|FR775242.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085742|emb|FR775219.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320088239|emb|FR775240.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320087541|emb|FR775236.1|
../results/simdir/Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197/61197_.fasta,gi|320085022|emb|FR775198.1|
